pln
He 2-157,PK331-2.1,16 22.2,-53 41,stellar,,16.2,,8.05,Nor,Record:   20-
He 2-158,PK327-6.1,16 23.5,-58 19,2,,14.6,15.4,7.21,Nor,Record:   8+
He 2-159,PK330-3.1,16 24.4,-54 36,16x8,,13.9,,10.27,Nor,Record:  17.5+ 8+
He 2-161,PK331-2.2,16 24.6,-53 23,17x10,,14.8,,11.48,Nor,Record:   20+
He 2-162,PK331-3.1,16 27.9,-54 01,stellar,,16.6,,8.35,Nor,Record:   20?
He 2-163,PK327-7.1,16 29.5,-59 09,22x18,,13.5,,11.10,Nor,Record:   8+
He 2-164,PK332-3.1,16 29.9,-53 23,16,,13.9,,11.03,Nor,Record:  17.5+ 8+
He 2-165,PK331-3.2,16 30.0,-54 10,54x45,,13.9,,13.47,Nor,Record:  17.5+ 8+
He 2-169,PK335-1.1,16 34.2,-49 21,24x20,,17.4,,15.21,Nor,Record:  17.5- 20-
He 2-170,PK332-4.1,16 35.4,-53 50,stellar,,13.6,16.4,5.45,Ara,Record:   8+
He 2-171,PK346+8.1,16 34.1,-35 05,10,,15.0,,11.11,Sco,Record:  17.5- 20+
